filename, row, T, meanT, RH, meanRH, P, meanP WS, meanWS, TFLAG(1=bad), WFLAG(1=bad)
0219A_20181210_141419.txt,276.0,1.0,1.1,91.6,91.6,985.1,980.3,2.0,2.0,1,0
0219A_20181210_141419.txt,278.0,1.2,1.1,91.7,91.6,976.4,983.8,2.1,2.1,1,0
0219A_20181210_141419.txt,279.0,1.0,1.1,91.6,91.6,988.9,984.2,2.0,2.1,1,0
0219A_20181210_141419.txt,280.0,1.1,1.1,91.6,91.6,987.4,984.6,2.0,2.1,1,0
0219A_20181210_141419.txt,281.0,1.2,1.1,91.6,91.7,988.9,985.4,2.1,2.1,1,0
0219A_20181210_141419.txt,283.0,1.0,1.1,91.7,91.7,982.4,986.4,2.0,2.1,1,0
0219A_20181210_141419.txt,284.0,1.1,1.1,91.7,91.7,989.3,987.7,2.2,2.1,1,0
0219A_20181210_141419.txt,303.0,1.0,1.0,91.5,91.5,986.7,988.6,2.5,2.4,1,0
0219A_20181210_141419.txt,306.0,1.2,1.0,91.6,91.5,986.3,988.6,2.3,2.4,1,0
0219A_20181210_141419.txt,309.0,1.0,1.0,91.5,91.5,990.4,988.2,2.4,2.4,1,0
0219A_20181210_141419.txt,310.0,1.0,1.0,91.5,91.5,989.6,988.1,2.4,2.4,1,0
0219A_20181210_141419.txt,311.0,1.0,1.0,91.5,91.5,989.7,988.1,2.4,2.4,1,0
0219A_20181210_141419.txt,312.0,0.9,0.9,91.6,91.5,985.6,988.5,2.4,2.4,1,0
0219A_20181210_141419.txt,313.0,1.0,0.9,91.4,91.5,985.7,988.6,2.4,2.4,1,0
0219A_20181210_141419.txt,315.0,0.9,1.0,91.4,91.5,990.1,988.9,2.4,2.4,1,0
0219A_20181210_141419.txt,319.0,1.1,1.0,91.7,91.5,991.5,989.3,2.3,2.3,1,0
0219A_20181210_141419.txt,323.0,1.0,1.0,91.4,91.5,986.9,988.9,2.3,2.3,1,0
0219A_20181210_141419.txt,324.0,1.0,1.0,91.5,91.5,989.6,988.2,2.4,2.3,1,0
0219A_20181210_141419.txt,325.0,0.9,1.0,91.5,91.5,989.5,987.2,2.2,2.3,1,0
0219A_20181210_141419.txt,326.0,1.0,1.0,91.6,91.5,989.5,985.9,2.3,2.3,1,0
0219A_20181210_141419.txt,328.0,1.0,1.0,91.5,91.6,982.4,984.9,2.4,2.3,1,0
0219A_20181210_141419.txt,329.0,1.0,1.0,91.6,91.6,980.6,984.6,2.4,2.3,1,0
0219A_20181210_141419.txt,330.0,1.1,1.0,91.6,91.6,977.4,984.6,2.4,2.3,1,0
0219A_20181210_141419.txt,331.0,0.9,1.0,91.6,91.6,978.2,984.6,2.3,2.3,1,0
0219A_20181210_141419.txt,332.0,0.9,1.0,91.6,91.6,989.1,984.5,2.3,2.3,1,0
0219A_20181210_141419.txt,334.0,1.0,1.0,91.7,91.5,989.6,985.6,2.4,2.3,1,0
0219A_20181210_141419.txt,335.0,0.9,1.0,91.6,91.5,989.0,986.3,2.2,2.3,1,0
0219A_20181210_141419.txt,336.0,1.0,1.0,91.2,91.5,989.3,986.9,2.3,2.3,1,0
0219A_20181210_141419.txt,337.0,1.0,1.0,91.3,91.5,989.3,988.1,2.3,2.3,1,0
0219A_20181210_141419.txt,340.0,0.9,1.0,91.5,91.5,982.7,988.4,2.4,2.3,1,0
0219A_20181210_141419.txt,341.0,1.0,1.0,91.6,91.5,990.2,988.1,2.2,2.3,1,0
0219A_20181210_141419.txt,342.0,0.8,1.0,91.6,91.5,989.5,988.1,2.3,2.2,1,0
0219A_20181210_141419.txt,345.0,1.0,1.0,91.4,91.5,986.5,988.3,2.2,2.2,1,0
0219A_20181210_141419.txt,353.0,1.0,0.9,91.6,91.5,986.2,988.9,2.1,2.1,1,0
0219A_20181210_141419.txt,363.0,0.8,0.9,91.4,91.5,986.7,989.0,1.9,1.9,1,0
0219A_20181210_141419.txt,370.0,0.8,1.0,91.7,91.5,989.2,988.0,1.9,1.9,1,0
0219A_20181210_141419.txt,371.0,0.9,1.0,91.4,91.5,989.5,987.9,1.9,1.9,1,0
0219A_20181210_141419.txt,373.0,1.0,1.0,91.5,91.4,985.3,987.8,1.8,1.9,1,0
0219A_20181210_141419.txt,374.0,1.1,1.0,91.4,91.3,979.7,987.7,1.8,1.9,1,0
0219A_20181210_141419.txt,375.0,1.1,1.0,91.6,91.3,989.3,987.6,1.9,1.9,1,0
0219A_20181210_141419.txt,377.0,1.1,1.0,91.0,91.3,989.3,987.6,1.8,1.8,1,0
0219A_20181210_141419.txt,379.0,1.0,1.0,91.1,91.3,988.8,987.5,1.9,1.8,1,0
0219A_20181210_141419.txt,381.0,0.8,1.0,91.4,91.3,989.9,988.0,1.8,1.8,1,0
