filename, row, T, meanT, RH, meanRH, P, meanP WS, meanWS, TFLAG(1=bad), WFLAG(1=bad)
0224A_20170501_150633.txt,302051.0,20.3,20.8,33.9,33.7,986.5,986.4,0.1,0.1,1,0
0224A_20170501_150633.txt,302052.0,21.5,20.9,33.7,33.7,986.1,986.4,0.1,0.1,1,0
0224A_20170501_150633.txt,302056.0,20.5,21.0,33.6,33.4,986.4,986.4,0.1,0.1,1,0
0224A_20170501_150633.txt,302057.0,20.4,21.2,33.5,33.4,986.2,986.4,0.1,0.1,1,0
0224A_20170501_150633.txt,302058.0,21.8,21.0,32.6,33.3,986.7,986.4,0.1,0.1,1,0
0224A_20170501_150633.txt,302060.0,21.9,20.9,32.7,33.3,986.7,986.4,0.1,0.1,1,0
0224A_20170501_150633.txt,302061.0,21.6,20.9,33.1,33.2,986.3,986.4,0.1,0.1,1,0
0224A_20170501_150633.txt,302062.0,20.2,21.0,33.3,33.2,986.4,986.4,0.1,0.1,1,0
0224A_20170501_150633.txt,302063.0,20.2,21.1,33.5,33.2,986.7,986.4,0.1,0.1,1,0
0224A_20170501_150633.txt,302064.0,20.2,21.1,33.6,33.2,986.1,986.4,0.1,0.1,1,0
0224A_20170501_150633.txt,302065.0,21.6,21.1,32.9,33.2,986.7,986.4,0.1,0.1,1,0
0224A_20170501_150633.txt,302070.0,22.1,21.2,33.1,33.2,986.7,986.4,0.1,0.1,1,0
0224A_20170501_150633.txt,302076.0,19.7,20.6,33.2,33.1,986.0,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302080.0,19.8,20.9,33.1,33.0,986.7,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302081.0,21.8,21.0,33.1,33.0,986.1,986.4,0.1,0.1,1,0
0224A_20170501_150633.txt,302082.0,21.7,21.1,32.8,33.0,986.8,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302083.0,21.6,21.0,32.9,33.0,986.2,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302084.0,21.7,21.1,33.2,32.9,986.6,986.4,0.1,0.1,1,0
0224A_20170501_150633.txt,302087.0,19.9,21.2,33.2,32.9,986.8,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302088.0,21.8,21.1,31.9,33.0,986.0,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302091.0,21.6,21.0,33.2,33.0,986.4,986.4,0.1,0.1,1,0
0224A_20170501_150633.txt,302095.0,21.6,21.0,33.0,33.1,986.0,986.4,0.1,0.1,1,0
0224A_20170501_150633.txt,302096.0,20.0,20.9,33.2,33.1,986.4,986.4,0.2,0.1,1,0
